	N	Location	Scale	Degree of Freedom	Shape
ABHD12B	56.0	-2.4894363752389577	1.0904071932385615	8.925652291902212	-1.6501240763608451
ABHD13	56.0	1.7351610020228136	0.4760883040523314	2704560.8612472154	-1.437271860221883
ABHD14A	56.0	1.8790156304311336	0.6491543009863097	2543105.449761356	-1.6360399961360055
ABHD14B	56.0	2.0410343907444135	0.6221905232971949	2029933.6826290768	0.7264501402903578
ABHD15	56.0	1.7317101283846967	0.27476414068390664	4.004166789850257	-0.37007703816681736
ABHD16A	56.0	2.029339238347009	0.361494192658806	9.135787384050824	-0.9549321780137888
ABHD17A	56.0	2.188114672163644	0.21957024247948173	6.306402522205619	-0.47043667737293016
ABHD17B	56.0	1.6573971063203863	0.3470031043951252	5.586595500849565	0.4643219735549253
ABHD17C	56.0	0.728961712547273	0.8265199175559597	9696534.341292322	2.333580259480828
ABHD2	56.0	3.4346265363042425	0.6470298851663744	4667641.4906318765	-1.3136661619228063
ABHD3	56.0	1.9888482042706581	0.5154539537761338	4.948870815329522	-0.5638192895369603
ABHD4	56.0	3.330927801409435	0.8495476735908671	728288.1870837944	-1.6314117235301655
ABHD5	56.0	2.2490458884032023	0.49381816545931484	13.96205681665006	-0.6230076107373289
ABHD6	56.0	1.5302391065733043	0.5907142245598829	22.71469049182363	-1.3512670737614683
ABHD8	56.0	2.415706312371851	0.45953001385647296	2.063761147777287	-2.038079036316665
ABI1	56.0	2.3828170201736927	0.43696420440720907	266012.95196888165	1.6360488615023658
ABI2	56.0	2.601143805806978	0.29887132637563907	32.321601313644734	0.016807042903982904
ABI3BP	56.0	2.751028708134082	3.2601825170047185	4156336.4647218296	-2.915289987454186
ABL1	56.0	3.369923320360413	0.3482375654798387	3.262025708112394	-1.3284488488452124
ABL2	56.0	2.23730111648567	0.3968543108191555	4.5969547402705215	-0.23151194625474245
ABLIM1	56.0	2.9647097503483444	2.4093654705252874	2373563.6234541256	-4.558196769474765
ABLIM3	56.0	3.58218073237093	2.1192556747518596	6.379415044433127	-6.030100668905572
ABR	56.0	2.3786078815893745	0.5419860711277941	22.118202090805518	-0.60423958149828
ABRACL	56.0	3.315465980491192	0.7627300146809202	4094711.525153637	-0.8503146321946029
ABT1	56.0	2.220660677568918	0.3434162376387548	3768190.999812919	1.5844821688993167
ABTB1	56.0	1.8046766411929018	0.6086699885381348	5.9727309349237405	-1.3023899877113736
ABTB2	56.0	1.6977254615547053	0.5079270230214123	3.2999509186040266	-0.8653975874831843
AC005154.6	56.0	0.7820013533198478	0.7595909851652327	9396608.928045478	-4.106222502997143
AC005785.2	56.0	1.3536439564942255	0.37599850533782625	6077359.625640937	-0.9427944357134309
AC006460.2	56.0	0.8879726550237603	0.3715629286733253	6.4055862137493715	0.633022385114224
AC006486.1	56.0	-0.7511315711093263	0.5603173564335439	11.309269084531563	-0.9163951895202074
AC009120.6	56.0	3.4607065830412194	0.36931978270253757	10.361018307473046	1.895930360139337
AC009948.5	56.0	1.3259843413861416	0.5784286580931228	6202284.293724634	-1.6887589508968812
AC016734.2	56.0	2.8833200980429563	0.5486566388368403	5608670.309215732	-1.3626476699816052
AC024580.1	56.0	0.3690905901893139	0.43124789994721036	2.4657342248569125	-0.5460803447883391
AC092143.1	56.0	1.699431412627177	0.957013343558919	1864694.0361597817	-1.5987213330505678
AC092620.2	56.0	-0.0938023300323825	0.3694525789409752	7.026357139748038	1.1506614848608012
AC093323.3	56.0	2.7110093698716877	0.4722261869009401	9.69972463904929	-1.437866945438644
AC097662.2	56.0	-2.2488520295162564	0.7853723592632044	3629305.0432446483	1.343364594766597
AC141586.5	56.0	0.7612336073621044	0.38798716108139686	4.54607531419326	-1.440740474846761
ACAA1	56.0	2.98959638383871	0.5362605445633786	4959505.098658152	-2.2632829685272586
ACAA2	56.0	3.431849113962605	0.7404795585473893	6.259911504123398	-2.256702183515118
ACACA	56.0	3.0142846197823476	0.517238062614979	4833762.111796274	-3.4966247426990322
ACACB	56.0	0.682093795873683	0.6401322822015753	5.98593957822824	-1.3622685090988798
ACAD10	56.0	1.6149573436188542	0.3566266415158442	33.65981250644204	-0.6510914101505065
ACAD8	56.0	1.4584262973640736	0.618977285502127	1950971.8812681972	2.7769537446767867
ACAD9	56.0	2.3194664500688695	0.3341291414039382	29.288272535450126	1.9674069766238333
ACADM	56.0	2.9847884039472676	0.2931865496811201	2.722399768862865	-0.593117613605286
ACADS	56.0	1.6636176173860635	0.6483381747741619	2.9144981148446085	-1.416246215647896
ACADSB	56.0	0.8666413122990702	0.5983128602742657	1967471.7005023304	1.3917455716099463
ACADVL	56.0	4.756899819367486	0.4463234609838561	20.341147031183006	-1.6329810602987573
ACAP1	56.0	-1.9255691129945223	0.7847284307068674	9.375467075550368	1.844002860185438
ACAP2	56.0	2.5502556075158287	0.4235904366493205	2764017.3275173567	-1.7324595936677614
ACAP3	56.0	3.078273764228385	0.7909046377716521	20.18170613689258	-2.897230642258165
ACAT1	56.0	2.9816383589967517	0.5484207104801817	10.11736603347442	-1.4604651658614531
ACAT2	56.0	3.876151728122638	0.6591580559395431	3.8391921413283416	-1.6784794103330816
ACBD3	56.0	3.3343283634388623	0.3257568117067393	93.13013283949275	-1.3964565777906197
ACBD4	56.0	0.6720034328366843	0.6868563699546038	2298691.4395748433	-0.26977125242525457
ACBD5	56.0	2.2095011872417203	0.3526232621983151	1856079.206606225	-0.2943756740717902
ACBD6	56.0	2.958425215430519	0.3564849930288424	7554951.399535082	-2.292271072841652
ACBD7	56.0	1.5889172531649485	1.4445613546543785	155.30728687574964	-6.958431726537031
ACCS	56.0	1.4977186610812045	0.9950097865544292	2.528647401345067	-2.9538355211049425
ACD	56.0	2.893609268464316	0.4387704428740966	4000388.17407096	-1.5580417014931243
ACER2	56.0	-0.7799884436147845	0.8875148720528251	5.624410981569657	-0.41516503989218273
ACER3	56.0	1.5518401988553656	0.3915812472524582	5010769.606222756	-0.398288034782177
ACIN1	56.0	3.7464868098437174	0.3914486793887038	851883.4036651524	-1.527762618935262
ACKR3	56.0	3.7692974799117533	3.660062963538625	9899397.833118722	-6.548036304239359
ACKR4	56.0	-1.8568141196252503	0.4200524063789852	1.6405899037592315	0.25911070231019095
ACLY	56.0	4.106541576593307	0.3532314184748542	16.829133894383162	1.2916974552391434
ACO1	56.0	2.2528613642978508	0.4145601159791367	7.287713474335086	0.5955729083041732
ACO2	56.0	3.0726244669087803	0.41060658750503165	12.751469336311244	0.9469840118291585
ACOT1	56.0	1.9724426611311696	0.6605955184439123	2.8932300934984445	-1.5286141322260351
ACOT11	56.0	-0.7908083843515413	1.502041353518589	3.509468867477016	-1.7853450037972105
ACOT13	56.0	3.1882393791592865	0.41660316457690727	26.676809950911384	-0.6583454093337033
ACOT2	56.0	2.6905092681262373	0.635454414734586	3.670440519518328	-1.5155336867514184
ACOT7	56.0	3.4109048434557616	0.6289830290989324	17.058103449409387	-1.3935573317911678
ACOT8	56.0	2.995373275316834	0.54114511636146	7346864.675997609	-3.161056666883823
ACOT9	56.0	2.5885582712131807	0.30662267020441125	6.5465959430337035	0.1299206697791549
ACOX1	56.0	1.5984366588055399	0.2969828557393943	3.7024304938723103	0.6640074038483852
ACOX2	56.0	1.017372485927004	2.521082847132816	1923347.0794089604	-2.40346661516325
ACOX3	56.0	2.1620373277958365	0.5895218997028233	5085719.910220815	-3.4125505164852328
ACP1	56.0	3.438684255551405	0.3442808874710864	3239921.472015757	0.8240909305693753
ACP2	56.0	2.8496308703265445	0.49109269471189765	918121.2771357237	-1.1319028341205408
ACP5	56.0	-0.31500713441628203	1.800875353706759	5368640.782132231	0.006099538862760504
ACP6	56.0	0.8543393894340091	0.6556006364177658	5.4316944516265675	-0.7832808698540801
ACRBP	56.0	-3.394222145936908	1.2542568674495982	3028547.3605825044	2.0190128458419627
